35.117227,31.280085,521.72
35.117435,31.279965,522.04
35.117966,31.279571,527.18
35.118260,31.279377,528.64
35.118687,31.279180,530.16
35.119260,31.278994,530.23
35.119424,31.278906,530.86
35.119988,31.278522,531.98
35.120529,31.278131,528.67
35.120941,31.277907,527.49
35.121239,31.277781,526.58
35.121402,31.277681,527.27
35.122040,31.276913,525.79
35.122292,31.276654,524.84
35.122462,31.276542,524.64
35.122772,31.276435,524.99
35.123259,31.276215,524.16
35.123426,31.276156,524.33
35.123525,31.276139,524.57
35.124036,31.276138,523.75
35.124620,31.276355,525.31
35.125383,31.276754,526.27
35.125403,31.276781,526.49
35.125403,31.276781,526.49
35.125713,31.276905,526.02
35.126023,31.277029,526.77
35.126333,31.277153,527.03
35.126333,31.277153,527.03
35.126259,31.277442,527.41
35.126186,31.277731,529.11
